Model,error_value
doc2vec,32.641705411
doc2vec,32.5848254031
doc2vec,32.8741715303
doc2vec,32.4092392917
doc2vec,32.9087941438
doc2vec,32.7760603438
doc2vec,32.774397784
doc2vec,32.5345006678
doc2vec,32.4528861849
doc2vec,32.9623584112
word2vectfidf,35.7280641013
word2vectfidf,35.6563458304
word2vectfidf,35.8813928183
word2vectfidf,35.6934414878
word2vectfidf,35.9926797903
word2vectfidf,35.8427105231
word2vectfidf,35.7050996686
word2vectfidf,35.7001533363
word2vectfidf,35.628431518
word2vectfidf,35.9944601078
word2vec,36.3413789692
word2vec,36.2943911366
word2vec,36.6331981403
word2vec,36.358690276
word2vec,36.4625581165
word2vec,36.3447508347
word2vec,36.4099520206
word2vec,36.3975861898
word2vec,36.1873670673
word2vec,36.4198446852
